Iter:      0       1       2       3       4  
   0:    20112     101      89      95      65  
 len:    40112   20103   20093   20095   20065  
 loops: 191699  191861  191627  191920  191975  

   1:    20116      92      89      82     112  
 len:    40116   20092   20089   20082   20112  
 loops: 161697  127527  126907  127611  127458  

   2:    20146     119      79      83      78  
 len:    40146   20120   20079   20083   20078  
 loops: 170791  148510  148612  148875  149015  

   3:      101     139      76      75      71  
 len:    20120   20139   20076   20075   20071  
 loops:      1  148680  148236  148730  149008  

   4:      104     130      79      86      79  
 len:    20153   20130   20079   20086   20079  
 loops:      1  148792  148716  148601  148824  

   5:    20116      98      94      86     115  
 len:    40116   20098   20094   20086   20115  
 loops: 127460  127549  127324  127525  127110  

   6:    20087     122      76      66      72  
 len:    40087   20122   20076   20066   20072  
 loops: 172167  192041  191853  192156  191716  

   7:      149     129      90      90      90  
 len:    20149   20129   20090   20090   20090  
 loops:    153  169386  169906  169843  170126  

   8:      114     146      88      74      73  
 len:    20124   20146   20088   20074   20073  
 loops:      1  170351  169538  170389  169858  

   9:      118      73      67      67      94  
 len:    20126   20073   20067   20067   20094  
 loops:      1  170029  170179  170259  170236  

  10:      128     162      77      99      94  
 len:    20128   20162   20077   20105   20094  
 loops:     10  126522  127458  126659  127000  

  11:      107     118      69      66      56  
 len:    20107   20121   20069   20066   20056  
 loops:     84  169350  169718  169817  170482  

  12:      114     129      71      75      72  
 len:    20136   20134   20071   20075   20072  
 loops:      1  169647  169898  170271  170414  

  13:    20111      93      71      91      87  
 len:    40111   20093   20071   20094   20087  
 loops: 170495  170338  170619  170117  170631  

  14:    20092     125      81      71      76  
 len:    40092   20125   20081   20071   20076  
 loops: 170497  168669  170551  170326  170672  

  15:    20098     126      71      79      69  
 len:    40098   20126   20071   20079   20069  
 loops: 170495  170433  170640  170497  170330  

  16:    20109     125      82      68      74  
 len:    40109   20125   20082   20068   20074  
 loops: 170504  170461  170602  168462  170670  

  17:      112      71      64      64      88  
 len:    20112   20071   20064   20064   20088  
 loops:     69  169653  169915  169945  170234  

  18:      214     164      87     101      93  
 len:    20214   20164   20087   20101   20093  
 loops:    438  126919  127477  127012  127049  

  19:      130     207     108      87     101  
 len:    20146   20207   20108   20087   20101  
 loops:      1  170327  169909  170385  169961  

  20:      169     133      88      97      94  
 len:    20169   20133   20088   20097   20094  
 loops:    138  126962  127459  126825  127138  

  21:    20099      78      76      69      94  
 len:    40099   20078   20076   20069   20094  
 loops: 170483  170551  170129  170538  170290  

  22:    20099     115      77      62      73  
 len:    40099   20115   20084   20062   20073  
 loops: 170556  170564  170481  170418  170559  

  23:    20137     160      72      77      72  
 len:    40137   20160   20072   20077   20072  
 loops: 150396  170564  170069  170169  170203  

  24:       89     100      62      67      63  
 len:    20105   20100   20062   20067   20063  
 loops:      1  212840  213233  212758  213034  

  25:    20122      78      71      71      97  
 len:    40122   20078   20071   20071   20097  
 loops: 170473  169816  170447  170331  170549  

  26:      163     121      79      72      71  
 len:    20163   20121   20079   20072   20071  
 loops:    348  170037  169819  169808  170547  

  27:      150     164      91      97      92  
 len:    20162   20164   20091   20097   20092  
 loops:      1  125611  126917  127322  127409  

  28:      154     101      70      65      62  
 len:    20154   20101   20070   20065   20062  
 loops:    393  169789  169895  170203  170386  

  29:    20063      66      55      43      62  
 len:    40063   20066   20055   20043   20062  
 loops: 321056  320905  321162  321218  321047  

  30:    20061      88      50      52      46  
 len:    40061   20088   20050   20052   20046  
 loops: 320914  320925  320976  320771  320952  

  31:    20067      83      53      46      51  
 len:    40067   20083   20053   20046   20051  
 loops: 321102  320858  321019  320921  321180  

  32:    20073      93      48      53      50  
 len:    40073   20093   20048   20053   20050  
 loops: 321039  320950  320931  320978  321179  

  33:       82      52      50      49      63  
 len:    20082   20052   20050   20049   20063  
 loops:     39  320082  320768  320269  317112  

  34:       83      72      53      46      47  
 len:    20083   20072   20053   20046   20047  
 loops:    144  320297  320415  320682  320823  

  35:    20070      85      47      55      51  
 len:    40070   20085   20047   20055   20051  
 loops: 321045  320345  320945  320296  320621  

  36:       60      91      51      46      49  
 len:    20071   20091   20051   20046   20049  
 loops:      1  320476  320334  320816  320463  

  37:       80      50      46      47      63  
 len:    20080   20050   20046   20047   20063  
 loops:     26  320568  320581  320605  321108  

  38:    20066      70      47      53      52  
 len:    40066   20070   20047   20053   20052  
 loops: 320772  320992  320655  321026  321145  

  39:       84      67      52      47      46  
 len:    20084   20067   20052   20047   20046  
 loops:    118  320354  320456  320536  320640  

  40:       84      72      51      56      52  
 len:    20086   20072   20051   20056   20052  
 loops:      1  320173  320349  320741  320838  

  41:    20065      54      48      48      65  
 len:    40065   20054   20048   20048   20065  
 loops: 320981  320267  320730  320539  321155  

  42:       68      87      56      43      53  
 len:    20073   20087   20056   20043   20058  
 loops:      1  320502  320063  320403  320401  

  43:       93      73      50      55      52  
 len:    20093   20074   20050   20055   20052  
 loops:    213  320248  320520  320479  320614  

  44:       85      76      55      49      51  
 len:    20090   20076   20055   20049   20051  
 loops:      1  320298  320054  320828  317208  

  45:    20065      54      46      46      66  
 len:    40065   20054   20046   20046   20066  
 loops: 320552  320334  320921  320640  321022  

  46:       85      73      51      54      51  
 len:    20086   20073   20051   20054   20051  
 loops:      1  320402  320643  320397  320561  

  47:       78      88      53      47      51  
 len:    20078   20088   20053   20047   20051  
 loops:     84  321093  320484  320853  321033  

  48:    20071      86      49      56      53  
 len:    40071   20086   20049   20056   20053  
 loops: 317421  320937  320765  321039  317763  

  49:       84      53      49      49      63  
 len:    20084   20053   20049   20049   20063  
 loops:    105  320307  320801  320341  321025  

Parent pid: 2144
 Task 0 (prio 2) (pid 2145):
   Max: 20146 us
   Min: 60 us
   Tot: 445127 us
   Avg: 8902 us

 Task 1 (prio 3) (pid 2146):
   Max: 207 us
   Min: 50 us
   Tot: 5052 us
   Avg: 101 us

 Task 2 (prio 4) (pid 2147):
   Max: 108 us
   Min: 46 us
   Tot: 3354 us
   Avg: 67 us

 Task 3 (prio 5) (pid 2148):
   Max: 101 us
   Min: 43 us
   Tot: 3322 us
   Avg: 66 us

 Task 4 (prio 6) (pid 2149):
   Max: 115 us
   Min: 46 us
   Tot: 3514 us
   Avg: 70 us

