time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1648632701, 12, 4, 14200, 15, 467173, 70.11, 71.50
1648632715, 12, 4, 14200, 14, 137553, 74.01, 74.00
1648632729, 12, 4, 14200, 14, 369621, 76.44, 76.40
1648632744, 12, 4, 14200, 13, 985760, 76.44, 76.40
1648632758, 12, 4, 14200, 14, 314642, 78.39, 78.40
1648632773, 12, 4, 14200, 14, 811183, 78.88, 78.80
1648632787, 12, 4, 14200, 14, 678306, 78.39, 78.40
1648632802, 12, 4, 14200, 14, 959134, 79.85, 79.80
1648632818, 12, 4, 14200, 15, 372213, 79.85, 79.30
1648632832, 12, 4, 14200, 14, 608437, 81.80, 81.30
